93639;Панель информационная ПИ 1280х248;439;2022-02-28;;;Ростов-на-Дону;
93638;Прочее (см. примечания);;2022-02-28;2022-02-28;2022-03-01;Москва-Киевская;Блок ПРК1 в сборе. Резистор 2 Вт. 10 К.
93637;Прочее (см. примечания);87;2022-02-25;2022-02-28;2022-03-01;Москва-Киевская;Фонарь концевой сигнальный ФКС-КСД-50-У1
93636;Прочее (см. примечания);;2022-02-25;;;Челябинск;Плата с почтового вагона. После ремонта отправить в Красноярск
93635;Плата ПДВ-3 (ГАМЕМ);235;2022-02-25;;;Вологда;
93634;Плата упр. ВВ преобразователем СМПК.468332.120;145;2022-02-25;;;Вологда;
93633;Плата упр. ВВ преобразователем СМПК.468332.120;79;2022-02-25;;;Вологда;
93632;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;55;2022-02-25;;;Вологда;
93631;Плата ВВ драйверов СМПК.758726.181 СМПК.468741.044;31;2022-02-25;;;Вологда;
93630;Прочее (см. примечания);;2022-02-25;;;Уфа;Преобразователь SKS-220AC-110DC-350
93629;Прочее (см. примечания);;2022-02-25;;;Уфа;Преобразователь SKS-220AC-110DC-350
93628;Модуль питания МП (ЭЛСИЭЛ) СМПК.758726.028;498;2022-02-25;2022-02-28;;Уфа;
93627;Модуль питания МП (ЭЛСИЭЛ) СМПК.758726.028;566;2022-02-25;2022-02-28;;Уфа;
93626;Блок БУЭВ-Г АВДБ.758800.100;458;2022-02-25;2022-02-25;;Уфа;200 Ом, предохранитель 0,25А
93625;Плата ПДТ32 (ГАМЕМ);10505857;2022-02-25;;;Сервисный центр;Санкт-Петербург
93624;Плата ПС-6ТМ (ГАМЕМ);10505325;2022-02-25;;;Сервисный центр;Санкт-Петербург
93623;Модуль МП-06 (Латво);3225;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Москва
93622;Модуль МЗ-03 (Латво);1007;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Москва
93621;Модуль МГ-11 (Латво);640;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Ростов-на-Дону
93620;Плата П-02 (ГАМЕМ);817208;2022-02-25;2022-02-28;2022-03-01;Сервисный центр;Абакан. исправна
93619;Модуль БУЭ-К (Экспресс 1А41);1210;2022-02-25;2022-02-25;2022-03-01;Сервисный центр;Калининград. IXTK120N25P
93618;Блок БУЭВ-Г АВДБ.758800.100;1404;2022-02-25;2022-02-25;2022-03-01;Сервисный центр;Москва. Исправен
93617;Блок БУЭВ-Г АВДБ.758800.100;1070;2022-02-25;2022-02-25;2022-03-01;Сервисный центр;Тамбов. 100 Ом
93616;Блок упр. авт. двери СМПК.422412.004 (ЭЛСИЭЛ);1358;2022-02-25;2022-02-28;2022-03-01;Сервисный центр;Псков
93615;Блок РНС ЖИТМ.436432.001 (Кросна);1892;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Казань
93614;Блок БРНГ в сборе ЖИТМ.421243.001 (Кросна);2447;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Самара
93613;Инвертор ПН-ПОЕТ-22-230-50-У1;491;2022-02-25;2022-03-01;;Сервисный центр;Казань гв 06.08
93612;Инвертор ИН 110/220/5000/50/М1;10133;2022-02-25;2022-03-01;2022-03-01;Сервисный центр;Казань
93611;Инвертор ИН 110/220/5000/50;8969;2022-02-25;;;Сервисный центр;Чита
93610;Огр. напр. СНСО-01 (ПГУП НВЭЦ);1033;2022-02-25;2022-03-01;;Казань;
93609;Блок упр. авт. двери СПСТ.468361.016;1105781;2022-02-25;2022-02-28;;Казань;
93608;Сервер ИВС АВДБ.687280.032;153;2022-02-25;2022-03-01;;Казань;Замена SATA-контроллера. Восстановление жесткого диска.
93607;Сервер ИВС-1.01;;2022-02-25;2022-03-01;;Казань;Переустановка ПО. Ремонт DVD--привода.
93606;Сервер ИВС-1.01;;2022-02-25;2022-02-28;;Казань;Замена жесткого диска. Переустановка ПО.
93605;Плата ППВ1 (ГАМЕМ);416011;2022-02-25;;;Адлер;
93604;Плата ПУВ3 (ГАМЕМ);314;2022-02-25;;;Адлер;
93603;Плата ПДВ-3 (ГАМЕМ);406;2022-02-25;;;Адлер;
93602;Модуль БРНГ (ЭЛСИЭЛ) СМПК.758726.025-0х;247;2022-02-25;2022-02-25;2022-02-28;Адлер;
93601;Модуль БРНГ (ЭЛСИЭЛ) СМПК.758726.025-0х;496;2022-02-25;2022-02-25;2022-02-28;Адлер;
93600;Модуль БРНГ (ЭЛСИЭЛ) СМПК.758726.025-0х;59;2022-02-25;2022-02-25;2022-02-28;Адлер;
93599;ПСПВ Ясень;2841;2022-02-25;;;Адлер;Передана Бакину В.В. в ремонт 25.02.2022
93598;Табло инф. ТИ-11-11-38S;10333;2022-02-25;;;Адлер;резонатор 22,11840МГц
93597;Сервер ИВС-2.02;21;2022-02-25;;;Адлер;
93596;Инвертор ИН 110/220/5000/50/М1;10212;2022-02-25;2022-03-01;;Адлер;По просьбе Деляна Р.С. отправить в С.Ц. гв 07.09 Исправен
93595;Инвертор ИН 110/220/5000/50/М1;10830;2022-02-25;2022-03-01;;Адлер;
93594;Панель регулирования громкости ПРГ-2.02 АВДБ.687240.018;94272;2022-02-24;2022-02-24;2022-02-24;Орел;
93593;Панель регулирования громкости ПРГ-2.02 АВДБ.687240.018;94134;2022-02-24;2022-02-24;2022-02-24;Орел;
93592;Панель регулирования громкости ПРГ-2.02 АВДБ.687240.018;135528;2022-02-24;2022-02-24;2022-02-24;Орел;
93591;Панель регулирования громкости ПРГ-2.02 АВДБ.687240.018;94296;2022-02-24;2022-02-24;2022-02-24;Орел;
93590;Модуль БЗ-142К (Экспресс);1161;2022-02-24;2022-02-24;2022-02-24;Орел;регулировка
93589;Плата драйвера 4-к СМПК.468741.027 СМПК.758725.144;895;2022-02-24;2022-02-24;2022-02-24;Орел;
93588;Модуль расширения ABB XE08B5;FFFFFFFF;2022-02-24;2022-02-24;2022-02-24;Орел;
93587;Пульт СКУДОПП-9/4-0-0/0;2214;2022-02-24;2022-02-24;2022-02-24;Орел;
93586;Контроллер вагона ТЯИЛ.425712.001 (КОНТИНЕНТ);;2022-02-24;2022-02-24;2022-02-24;Орел;
93585;Блок упр. коммутации и питания ТЯИЛ.468350.001;190;2022-02-24;2022-02-24;2022-02-24;Орел;
93584;Блок упр. коммутации и питания ТЯИЛ.468350.001;253;2022-02-24;2022-02-24;2022-02-24;Орел;
93583;Модуль аналоговый СМПК.426462.013 СМПК.758726.110;1;2022-02-24;2022-02-28;2022-03-01;Москва-Киевская;
93582;Модуль БЗ-142К (Экспресс);310;2022-02-24;2022-02-24;2022-02-24;Москва-Киевская;регулировка
93581;Модуль БУЭ-К (Экспресс 1А41);866;2022-02-24;2022-02-24;2022-02-24;Москва-Киевская;0,1 Ом
93580;Блок БРНГ в сборе ЖИТМ.421243.001 (Кросна);1667;2022-02-24;2022-02-24;2022-02-24;Москва-Киевская;
93579;Блок БРНГ в сборе ЖИТМ.421243.001 (Кросна);1403;2022-02-24;2022-02-24;2022-02-24;Москва-Киевская;
93578;Блок БРНГ в сборе ЖИТМ.421243.001 (Кросна);980;2022-02-24;2022-02-24;2022-02-24;Москва-Ярославская;
93577;Модуль БРНГ ВКПФ.452270.141;5;2022-02-22;2022-02-28;2022-03-01;Самара;
93576;Модуль БРНГ ВКПФ.452270.141;49;2022-02-22;2022-02-28;2022-03-01;Самара;
93575;Блок дисплея БД04;126098;2022-02-22;;;Самара;Процессор, на Прософт
93574;Дисплей WECON;70519014;2022-02-22;2022-02-23;2022-02-25;Тында;Восст. SD-holder'а + зам. и прошивка sd-карты
93573;Блок реле сигнализации высокого напр. (Экспресс К27);;2022-02-22;2022-03-01;;Тында;
93572;Модуль расширения ABB DX522;5627;2022-02-22;2022-02-25;;Смоленск;попадание воды в блок .флюсовые включения на платах нарушение токопроводящих дорожек
93571;Блок упр. авт. двери СПСТ.468361.016;11111337;2022-02-22;2022-02-22;2022-02-24;Смоленск;
93570;Панель Advantech TPC-1270H-C1E;HMA0056647;2022-02-22;2022-02-22;2022-02-26;Орел;
93569;Панель Advantech TPC-1270H-C1E;HMA0064013;2022-02-22;2022-02-22;2022-02-26;Орел;
93568;Инвертор ИН 110/220/5000/50 IP54;21206;2022-02-22;2022-03-01;2022-03-01;Москва-Николаевка;гв 11.17 Выгорели 4 шпильки, замена
93567;Модуль МЗ-03 (Латво);2203;2022-02-22;2022-02-24;2022-02-24;Москва-Николаевка;
93566;Блок питания SPN15.101.01A;;2022-02-22;2022-02-25;;Чита;
93565;Прочее (см. примечания);;2022-02-22;2022-02-25;;Чита;Блок питания SPN30.101.01A
93564;Прочее (см. примечания);;2022-02-22;2022-02-25;;Чита;Блок питания SPN30.101.01A
93563;Модуль ПИТ (БРНГ Кросна);;2022-02-22;;;Чита;
93562;Блок РНС ЖИТМ.436432.001 (Кросна);707;2022-02-22;;;Чита;
93561;Модуль МГ-11 (Латво);460;2022-02-22;;;Чита;
93560;Модуль МГ-11 (Латво);247;2022-02-22;;;Чита;
93559;Модуль МГ-11 (Латво);36469;2022-02-22;;;Чита;
93558;БУЗ;3526;2022-02-22;;;Чита;
